Account, Status, Transaction Date, Posted Date, Card No., Description, Category, Debit, Credit, Card Title, Check No.
"Checking - 9692",Posted,02/29/2024,02/29/2024,,"ACH Credit  MERCH DEP  DIRECT PAYMENT  CCD  941300000116152",B,,451.00,,
"Checking - 9692",Posted,02/29/2024,02/29/2024,,"ACH Credit  MERCH DEP  DIRECT PAYMENT  CCD  941300000116152",B,,2032.50,,
"Checking - 9692",Posted,02/29/2024,02/29/2024,,"ACH Debit  ZOTA-Direc ZOTA-Direct DPS  CCD  ST-Y7V3U6S3R1O1",B,99.00,,,
"Checking - 9692",Posted,02/29/2024,02/29/2024,,"CHECK              0",B,390.00,,,
"Checking - 9692",Posted,02/29/2024,02/29/2024,,"CHECK              0",B,390.00,,,
"Checking - 9692",Posted,02/29/2024,02/29/2024,,"CHECK              0",B,1050.63,,,
"Checking - 9692",Posted,02/29/2024,02/29/2024,,"CHECK              0",B,1079.16,,,
"Checking - 9692",Posted,02/29/2024,02/29/2024,,"CHECK              0",B,1141.24,,,
"Checking - 9692",Posted,02/29/2024,02/29/2024,,"CHECK              5064",B,390.00,,,5064
"Checking - 9692",Posted,02/29/2024,02/29/2024,,"CHECK              5082",B,1210.60,,,5082
"Checking - 9692",Posted,02/29/2024,02/29/2024,,"CHECK              5087",B,1154.35,,,5087
"Checking - 9692",Posted,02/29/2024,02/29/2024,,"CHECK               5088",B,1241.06,,,5088
"Checking - 9692",Posted,02/29/2024,02/29/2024,,"CHECK              5090",B,1280.21,,,5090
"Checking - 9692",Posted,02/28/2024,02/28/2024,,"ACH Credit  941300000116152  MERCH DEP  DIRECT PAYMENT  CCD",B,,1779.30,,
"Checking - 9692",Posted,02/28/2024,02/28/2024,,"CHECK              3039",B,657.00,,,3039
"Checking - 9692",Posted,02/28/2024,02/28/2024,,"CHECK               5079",B,854.50,,,5079
"Checking - 9692",Posted,02/28/2024,02/28/2024,,"CHECK               5081",B,854.50,,,5081
"Checking - 9692",Posted,02/28/2024,02/28/2024,,"CHECK              5086",B,1123.24,,,5086
"Checking - 9692",Posted,02/27/2024,02/27/2024,,"ACH Credit  941300000116152  MERCH DEP  DIRECT PAYMENT  CCD",B,,329.00,,
"Checking - 9692",Posted,02/27/2024,02/27/2024,,"ACH Credit  941300000116152  MERCH DEP  DIRECT PAYMENT  CCD",B,,2341.35,,
"Checking - 9692",Posted,02/27/2024,02/27/2024,,"CHECK               5092",B,7350.00,,,5092
"Checking - 9692",Posted,02/26/2024,02/26/2024,,"ACH Credit  941300000116152  MERCH DEP  DIRECT PAYMENT  CCD",B,,143.00,,
"Checking - 9692",Posted,02/26/2024,02/26/2024,,"ACH Credit  941300000116152  MERCH DEP  DIRECT PAYMENT  CCD",B,,155.00,,
"Checking - 9692",Posted,02/26/2024,02/26/2024,,"ACH Credit  941300000116152  MERCH DEP  DIRECT PAYMENT  CCD",B,,286.00,,
"Checking - 9692",Posted,02/26/2024,02/26/2024,,"ACH Credit  941300000116152  MERCH DEP  DIRECT PAYMENT  CCD",B,,517.00,,
"Checking - 9692",Posted,02/26/2024,02/26/2024,,"ACH Credit  941300000116152  MERCH DEP  DIRECT PAYMENT  CCD",B,,2504.80,,
"Checking - 9692",Posted,02/26/2024,02/26/2024,,"ACH Credit  941300000116152  MERCH DEP  DIRECT PAYMENT  CCD",B,,4560.40,,
"Checking - 9692",Posted,02/26/2024,02/26/2024,,"ACH Credit  941300000116152  MERCH DEP  DIRECT PAYMENT  CCD",B,,5048.60,,
"Checking - 9692",Posted,02/26/2024,02/26/2024,,"POS Recurring Debit  877-794-2724  NY C#8567  DBT CRD 0219 02/26/24 DBLPEKYQ  OPTIMUM 7705",B,71.91,,,
"Checking - 9692",Posted,02/23/2024,02/23/2024,,"ACH Credit  941300000116152  MERCH DEP  DIRECT PAYMENT  CCD",B,,228.00,,
"Checking - 9692",Posted,02/23/2024,02/23/2024,,"ACH Credit  941300000116152  MERCH DEP  DIRECT PAYMENT  CCD",B,,2241.85,,
"Checking - 9692",Posted,02/23/2024,02/23/2024,,"DEPOSIT",B,,2825.00,,
"Checking - 9692",Posted,02/22/2024,02/22/2024,,"ACH Credit  941300000116152  MERCH DEP  DIRECT PAYMENT  CCD",B,,208.00,,
"Checking - 9692",Posted,02/22/2024,02/22/2024,,"ACH Credit  941300000116152  MERCH DEP  DIRECT PAYMENT  CCD",B,,2383.70,,
"Checking - 9692",Posted,02/22/2024,02/22/2024,,"CHECK              5056",B,838.57,,,5056
"Checking - 9692",Posted,02/22/2024,02/22/2024,,"CHECK              5071",B,1187.48,,,5071
"Checking - 9692",Posted,02/22/2024,02/22/2024,,"CHECK              5078",B,1261.00,,,5078
"Checking - 9692",Posted,02/21/2024,02/21/2024,,"ACH Credit  941300000116152  MERCH DEP  DIRECT PAYMENT  CCD",B,,298.00,,
"Checking - 9692",Posted,02/21/2024,02/21/2024,,"ACH Credit  941300000116152  MERCH DEP  DIRECT PAYMENT  CCD",B,,1323.50,,
"Checking - 9692",Posted,02/21/2024,02/21/2024,,"CHECK              5070",B,966.01,,,5070
"Checking - 9692",Posted,02/21/2024,02/21/2024,,"CHECK              5072",B,1163.38,,,5072
"Checking - 9692",Posted,02/21/2024,02/21/2024,,"CHECK               5076",B,1249.23,,,5076
"Checking - 9692",Posted,02/20/2024,02/20/2024,,"ACH Credit  941300000116152  MERCH DEP  DIRECT PAYMENT  CCD",B,,76.00,,
"Checking - 9692",Posted,02/20/2024,02/20/2024,,"ACH Credit  941300000116152  MERCH DEP  DIRECT PAYMENT  CCD",B,,125.00,,
"Checking - 9692",Posted,02/20/2024,02/20/2024,,"ACH Credit  941300000116152  MERCH DEP  DIRECT PAYMENT  CCD",B,,528.00,,
"Checking - 9692",Posted,02/20/2024,02/20/2024,,"ACH Credit  941300000116152  MERCH DEP  DIRECT PAYMENT  CCD",B,,2370.00,,
"Checking - 9692",Posted,02/20/2024,02/20/2024,,"ACH Credit  941300000116152  MERCH DEP  DIRECT PAYMENT  CCD",B,,3122.50,,
